architecture,evidence_class,tok_s_per_user,retained_user_slots,aggregate_tok_s,gpu_equivalent_count,gpu_hours_per_1m_output_tokens,gpu_hourly_price_usd_inherited,projected_infrastructure_usd_per_1m_output_tokens,change_vs_reference_cost_percent,scope,change_vs_exp016_cost_percent,change_vs_exp015_cost_percent
Experiment 015 block 7,validated-model bridge / projection,2.1838203220693897,44.48639082284157,97.15028433444262,93.0,265.91104195229474,0.15,39.88665629284421,0.0,"projection using Experiment 015's retained user slots, 93 paid GPU equivalents, and $0.15/GPU-hour; target-only zero-draft capacity",22.22267291146538,0.0
Experiment 016 block 7,validated-model bridge / projection,2.6691235692169797,44.48639082284157,118.73967425464438,93.0,217.56277752566672,0.15,32.634416628850005,-18.182119881769275,"projection using Experiment 015's retained user slots, 93 paid GPU equivalents, and $0.15/GPU-hour; target-only zero-draft capacity",0.0,-18.182119881769275
Experiment 017 best exact (existing E016 block-16 curve),validated-model bridge / projection; no new mechanism,3.099405677205971,44.48639082284157,137.88137227471876,93.0,187.35912550871822,0.15,28.103868826307732,-29.54067490648582,"projection using Experiment 015's retained user slots, 93 paid GPU equivalents, and $0.15/GPU-hour; target-only zero-draft capacity",-13.882729555328122,-29.54067490648582
