source_run,excluded_from_performance,sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
baseline,False,1786538247692144300,2026/08/12 22:37:27.724,83.0,8.0,19429.0,32607.0,341.97,2835.0,13801.0
baseline,False,1786538248233739000,2026/08/12 22:37:28.265,77.0,3.0,19429.0,32607.0,341.53,2820.0,13801.0
expert-unfused,False,1786539728509977100,2026/08/12 23:02:08.537,0.0,0.0,19359.0,32607.0,24.81,510.0,810.0
expert-unfused,False,1786539729045718000,2026/08/12 23:02:09.076,80.0,9.0,19359.0,32607.0,59.32,1927.0,13801.0
expert-unfused,False,1786539729586100500,2026/08/12 23:02:09.618,77.0,9.0,19359.0,32607.0,184.84,2872.0,13801.0
expert-unfused,False,1786539730126847200,2026/08/12 23:02:10.158,75.0,9.0,19359.0,32607.0,288.26,2857.0,13801.0
expert-unfused,False,1786539730681077200,2026/08/12 23:02:10.713,77.0,7.0,19359.0,32607.0,304.91,2872.0,13801.0
expert-unfused,False,1786539731221660800,2026/08/12 23:02:11.252,89.0,10.0,19365.0,32607.0,310.47,2872.0,13801.0
expert-unfused,False,1786539731758998400,2026/08/12 23:02:11.790,79.0,9.0,19365.0,32607.0,307.11,2872.0,13801.0
expert-unfused,False,1786539732298794500,2026/08/12 23:02:12.346,85.0,8.0,19365.0,32607.0,313.1,2827.0,13801.0
expert-unfused,False,1786539732865700600,2026/08/12 23:02:12.897,76.0,6.0,19365.0,32607.0,314.67,2820.0,13801.0
expert-unfused,False,1786539733406594500,2026/08/12 23:02:13.438,89.0,10.0,19365.0,32607.0,310.4,2872.0,13801.0
expert-unfused,False,1786539733946003600,2026/08/12 23:02:13.977,89.0,10.0,19365.0,32607.0,312.05,2872.0,13801.0
expert-unfused,False,1786539734485929500,2026/08/12 23:02:14.516,87.0,8.0,19365.0,32607.0,315.6,2842.0,13801.0
expert-unfused,False,1786539735024022900,2026/08/12 23:02:15.055,87.0,8.0,19365.0,32607.0,321.15,2820.0,13801.0
expert-unfused,False,1786539735564701000,2026/08/12 23:02:15.596,80.0,5.0,19363.0,32607.0,327.88,2797.0,13801.0
expert-unfused,False,1786539736106098200,2026/08/12 23:02:16.138,89.0,10.0,19359.0,32607.0,325.61,2850.0,13801.0
expert-unfused,False,1786539736644714200,2026/08/12 23:02:16.675,88.0,10.0,19365.0,32607.0,321.04,2865.0,13801.0
expert-unfused,False,1786539737197206800,2026/08/12 23:02:17.229,88.0,10.0,19365.0,32607.0,315.59,2865.0,13801.0
