sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786540387817030900,2026/08/12 23:13:07.880,0.0,0.0,19495.0,32607.0,31.25,397.0,810.0
1786540388401428900,2026/08/12 23:13:08.464,0.0,0.0,19489.0,32607.0,29.11,397.0,810.0
1786540388987772400,2026/08/12 23:13:09.051,0.0,0.0,19489.0,32607.0,24.93,367.0,810.0
1786540389571042000,2026/08/12 23:13:09.635,0.0,0.0,19489.0,32607.0,24.57,307.0,405.0
1786540390143594000,2026/08/12 23:13:10.222,0.0,0.0,19489.0,32607.0,24.06,300.0,405.0
1786540390744099800,2026/08/12 23:13:10.807,0.0,0.0,19489.0,32607.0,31.37,1237.0,405.0
1786540391316102300,2026/08/12 23:13:11.379,0.0,0.0,19489.0,32607.0,31.84,727.0,405.0
1786540391901522500,2026/08/12 23:13:11.965,0.0,0.0,19489.0,32607.0,24.47,502.0,405.0
1786540392473180000,2026/08/12 23:13:12.536,0.0,0.0,19489.0,32607.0,24.3,442.0,405.0
1786540393059267200,2026/08/12 23:13:13.122,0.0,0.0,19489.0,32607.0,31.28,900.0,810.0
1786540393643964000,2026/08/12 23:13:13.708,0.0,0.0,19489.0,32607.0,32.0,765.0,405.0
1786540394216431300,2026/08/12 23:13:14.279,0.0,0.0,19489.0,32607.0,25.38,630.0,405.0
1786540394802372600,2026/08/12 23:13:14.865,0.0,0.0,19489.0,32607.0,24.61,547.0,405.0
1786540395373905600,2026/08/12 23:13:15.437,0.0,0.0,19489.0,32607.0,24.33,465.0,405.0
1786540395960958800,2026/08/12 23:13:16.024,0.0,0.0,19489.0,32607.0,33.02,795.0,405.0
1786540396547007300,2026/08/12 23:13:16.610,0.0,0.0,19489.0,32607.0,25.59,675.0,405.0
1786540397119230500,2026/08/12 23:13:17.181,0.0,0.0,19489.0,32607.0,24.66,570.0,405.0
1786540397704492600,2026/08/12 23:13:17.767,87.0,34.0,19489.0,32607.0,32.05,1357.0,13801.0
1786540398286984400,2026/08/12 23:13:18.349,0.0,0.0,19489.0,32607.0,55.02,1702.0,13801.0
1786540398858454500,2026/08/12 23:13:18.922,0.0,0.0,19495.0,32607.0,63.17,1702.0,13801.0
1786540399430820200,2026/08/12 23:13:19.493,0.0,0.0,19495.0,32607.0,45.02,772.0,7001.0
1786540400015480300,2026/08/12 23:13:20.078,0.0,0.0,19495.0,32607.0,40.44,637.0,810.0
1786540400602267300,2026/08/12 23:13:20.664,0.0,0.0,19495.0,32607.0,32.01,420.0,810.0
1786540401186416200,2026/08/12 23:13:21.250,0.0,0.0,19495.0,32607.0,24.96,360.0,810.0
1786540401769704200,2026/08/12 23:13:21.832,0.0,0.0,19495.0,32607.0,24.59,322.0,810.0
1786540402353043900,2026/08/12 23:13:22.415,0.0,0.0,19495.0,32607.0,24.58,315.0,405.0
1786540402938854300,2026/08/12 23:13:23.003,0.0,0.0,19495.0,32607.0,53.47,2040.0,13801.0
1786540403525454400,2026/08/12 23:13:23.589,0.0,0.0,19489.0,32607.0,50.8,2040.0,13801.0
1786540404111742600,2026/08/12 23:13:24.174,0.0,0.0,19489.0,32607.0,50.8,2040.0,13801.0
1786540404695949500,2026/08/12 23:13:24.759,0.0,0.0,19489.0,32607.0,40.78,502.0,810.0
1786540405282272900,2026/08/12 23:13:25.346,0.0,0.0,19489.0,32607.0,36.1,772.0,810.0
1786540405854921300,2026/08/12 23:13:25.917,0.0,0.0,19489.0,32607.0,32.0,637.0,810.0
1786540406436236400,2026/08/12 23:13:26.499,0.0,0.0,19489.0,32607.0,24.72,472.0,405.0
1786540407007477100,2026/08/12 23:13:27.071,53.0,26.0,19489.0,32607.0,31.03,1042.0,405.0
1786540407594386800,2026/08/12 23:13:27.657,0.0,0.0,19489.0,32607.0,32.47,840.0,405.0
1786540408181942100,2026/08/12 23:13:28.245,0.0,0.0,19489.0,32607.0,25.73,712.0,405.0
1786540408767623000,2026/08/12 23:13:28.831,0.0,0.0,19489.0,32607.0,25.12,600.0,405.0
1786540409340157600,2026/08/12 23:13:29.403,0.0,0.0,19489.0,32607.0,24.74,495.0,405.0
1786540409925285600,2026/08/12 23:13:29.988,0.0,0.0,19489.0,32607.0,31.27,585.0,405.0
1786540410508986500,2026/08/12 23:13:30.572,0.0,0.0,19489.0,32607.0,24.53,510.0,405.0
1786540411080607500,2026/08/12 23:13:31.144,0.0,0.0,19489.0,32607.0,24.37,442.0,405.0
1786540411666700800,2026/08/12 23:13:31.730,0.0,0.0,19489.0,32607.0,24.35,405.0,405.0
