source,gpu_utilization_percent,memory_controller_utilization_percent,power_w,temperature_c,timestamp,vram_used_mib
attention-raw.json,16.0,2.0,62.76,47.0,2026/08/13 16:48:53.392,2274.0
attention-raw.json,14.0,2.0,63.54,47.0,2026/08/13 16:48:53.944,2482.0
attention-raw.json,17.0,2.0,65.45,48.0,2026/08/13 16:48:54.497,2372.0
attention-raw.json,17.0,2.0,67.47,47.0,2026/08/13 16:48:55.047,2582.0
attention-raw.json,13.0,2.0,69.82,48.0,2026/08/13 16:48:55.599,2360.0
attention-raw.json,16.0,1.0,71.6,48.0,2026/08/13 16:48:56.150,2494.0
attention-raw.json,12.0,1.0,73.05,48.0,2026/08/13 16:48:56.701,2348.0
attention-raw.json,11.0,2.0,71.08,52.0,2026/08/13 16:48:57.239,2288.0
attention-raw.json,19.0,2.0,80.83,49.0,2026/08/13 16:48:57.794,2460.0
attention-raw.json,22.0,2.0,80.89,48.0,2026/08/13 16:48:58.347,2376.0
attention-raw.json,22.0,2.0,81.79,48.0,2026/08/13 16:48:58.898,2578.0
attention-raw.json,20.0,2.0,83.06,50.0,2026/08/13 16:48:59.447,2330.0
attention-raw.json,20.0,1.0,82.34,48.0,2026/08/13 16:49:00.000,2456.0
attention-raw.json,17.0,2.0,85.1,49.0,2026/08/13 16:49:00.553,2230.0
attention-raw.json,6.0,1.0,74.79,47.0,2026/08/13 16:49:01.105,2230.0
attention-raw.json,4.0,1.0,59.43,47.0,2026/08/13 16:49:01.657,2426.0
attention-raw.json,18.0,2.0,50.35,48.0,2026/08/13 16:49:02.211,2266.0
attention-raw.json,20.0,2.0,54.7,48.0,2026/08/13 16:49:02.760,2230.0
attention-raw.json,3.0,1.0,53.92,48.0,2026/08/13 16:49:03.312,2262.0
attention-raw.json,4.0,1.0,48.01,48.0,2026/08/13 16:49:03.862,2460.0
attention-raw.json,6.0,1.0,65.09,48.0,2026/08/13 16:49:04.415,2338.0
attention-raw.json,20.0,2.0,68.2,48.0,2026/08/13 16:49:04.969,2242.0
attention-raw.json,6.0,1.0,54.02,49.0,2026/08/13 16:49:05.519,2230.0
attention-raw.json,4.0,1.0,55.78,48.0,2026/08/13 16:49:06.071,2328.0
attention-raw.json,25.0,2.0,56.93,49.0,2026/08/13 16:49:06.622,2230.0
attention-raw.json,2.0,1.0,58.28,48.0,2026/08/13 16:49:07.175,2310.0
