evidence,stripe_degree,rows,logical_fragments_per_worker,old_physical_launches_per_worker,new_physical_launches_per_worker,minimum_launch_coalescing,old_wall_ms_p50_across_workers,new_wall_ms_p50_across_workers,old_worker_ceiling_ms,new_worker_ceiling_ms,speedup_at_worker_ceiling,old_cuda_ms_p50_across_workers,new_cuda_ms_p50_across_workers,worker_seconds_old,worker_seconds_grouped,relative_l2,peak_memory_delta_bytes,exact,status,physical_device
P8_robust,8,1,16,17,2,8.0,0.38634999999999997,0.16060000000000002,0.4084,0.1803,2.265113699389906,0.37992000579833984,0.14318399876356125,0.0031111,0.0013073999999999998,4.2097354815391525e-08,4194304,True,PASS,NVIDIA GeForce RTX 5090 SM120
P8_robust,8,2,32,34,2,16.0,0.80185,0.29000000000000004,0.8203,0.3007,2.72796807449285,0.793967992067337,0.26419198513031006,0.0064147,0.0023423000000000003,8.787470005308114e-08,2097152,True,PASS,NVIDIA GeForce RTX 5090 SM120
P8_robust,8,4,64,68,2,32.0,1.6010499999999999,0.5387,1.6323,0.5419,3.0121793688872485,1.5924000144004822,0.5028959810733795,0.0128269,0.0043124,8.692959203724142e-08,0,True,PASS,NVIDIA GeForce RTX 5090 SM120
P16,16,1,16,17,2,8.0,0.56785,0.11455,0.6281,0.117,5.368376068376068,0.5493920147418976,0.0881120003759861,0.0088404,0.0018142000000000002,3.8962195308552445e-08,4194304,True,PASS,NVIDIA GeForce RTX 5090 SM120
P16,16,2,32,34,2,16.0,0.9648,0.18245,1.2221,0.1871,6.531801175841796,0.9519520103931427,0.1573920026421547,0.0158131,0.0029311,8.648611017605813e-08,2097152,True,PASS,NVIDIA GeForce RTX 5090 SM120
P16,16,4,64,68,2,32.0,1.90865,0.3367,2.1308,0.3424,6.223130841121495,1.8950079679489136,0.2982400059700012,0.030771699999999996,0.0053847,8.417752189672113e-08,0,True,PASS,NVIDIA GeForce RTX 5090 SM120
