timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:11:44.822, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:45.022, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:45.223, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.55 W
2026/09/10 10:11:45.423, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:45.623, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:45.823, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:46.023, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:46.223, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.52 W
2026/09/10 10:11:46.424, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:46.624, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:46.824, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:47.024, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:47.224, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.59 W
2026/09/10 10:11:47.425, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.74 W
2026/09/10 10:11:47.625, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.74 W
2026/09/10 10:11:47.825, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.74 W
2026/09/10 10:11:48.025, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.74 W
2026/09/10 10:11:48.225, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 40.74 W
2026/09/10 10:11:48.426, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 37.46 W
2026/09/10 10:11:48.626, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 37.46 W
2026/09/10 10:11:48.826, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 37.46 W
2026/09/10 10:11:49.026, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 37.46 W
2026/09/10 10:11:49.226, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 37.46 W
2026/09/10 10:11:49.426, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 26.80 W
2026/09/10 10:11:49.627, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 26.80 W
2026/09/10 10:11:49.827, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 26.80 W
2026/09/10 10:11:50.027, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 26.80 W
2026/09/10 10:11:50.227, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 26.80 W
2026/09/10 10:11:50.427, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:50.628, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:50.828, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:51.028, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:51.228, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:51.428, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:51.628, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:51.829, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:52.029, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:52.229, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:52.429, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:52.629, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:52.829, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:53.030, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:53.230, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.39 W
2026/09/10 10:11:53.430, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:53.630, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:53.830, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:54.031, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:54.231, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:54.431, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.59 W
2026/09/10 10:11:54.631, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.59 W
2026/09/10 10:11:54.831, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.59 W
2026/09/10 10:11:55.032, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.59 W
2026/09/10 10:11:55.232, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.59 W
