timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:02:45.176, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.10 W
2026/09/10 10:02:45.377, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.10 W
2026/09/10 10:02:45.577, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.10 W
2026/09/10 10:02:45.777, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.10 W
2026/09/10 10:02:45.978, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.10 W
2026/09/10 10:02:46.179, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.26 W
2026/09/10 10:02:46.379, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.26 W
2026/09/10 10:02:46.580, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.26 W
2026/09/10 10:02:46.780, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.26 W
2026/09/10 10:02:46.981, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.26 W
2026/09/10 10:02:47.181, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.29 W
2026/09/10 10:02:47.382, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.29 W
2026/09/10 10:02:47.582, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.29 W
2026/09/10 10:02:47.783, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.29 W
2026/09/10 10:02:47.984, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.29 W
2026/09/10 10:02:48.184, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:48.385, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:48.586, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:48.786, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:48.987, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:49.188, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:49.388, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:49.589, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:49.789, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:49.990, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 98.20 W
2026/09/10 10:02:50.190, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 96.14 W
2026/09/10 10:02:50.391, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 96.14 W
2026/09/10 10:02:50.592, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 96.14 W
2026/09/10 10:02:50.792, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 96.14 W
2026/09/10 10:02:50.993, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 96.14 W
2026/09/10 10:02:51.194, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 59.12 W
2026/09/10 10:02:51.394, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 59.12 W
2026/09/10 10:02:51.595, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 59.12 W
2026/09/10 10:02:51.796, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 59.12 W
2026/09/10 10:02:51.996, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 59.12 W
2026/09/10 10:02:52.197, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 21.30 W
2026/09/10 10:02:52.398, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 21.30 W
2026/09/10 10:02:52.598, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 21.30 W
2026/09/10 10:02:52.799, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 21.30 W
2026/09/10 10:02:52.999, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 21.30 W
2026/09/10 10:02:53.200, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.55 W
2026/09/10 10:02:53.401, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.55 W
2026/09/10 10:02:53.601, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.55 W
2026/09/10 10:02:53.802, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.55 W
2026/09/10 10:02:54.003, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.55 W
2026/09/10 10:02:54.204, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.72 W
2026/09/10 10:02:54.404, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.72 W
2026/09/10 10:02:54.605, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.72 W
2026/09/10 10:02:54.805, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.72 W
2026/09/10 10:02:55.006, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.72 W
2026/09/10 10:02:55.207, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:02:55.407, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:02:55.608, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:02:55.809, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:02:56.009, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.62 W
2026/09/10 10:02:56.210, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.61 W
2026/09/10 10:02:56.411, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.61 W
2026/09/10 10:02:56.611, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.61 W
