sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786526341419959600,2026/08/12 19:19:01.453,0.0,0.0,20449.0,32607.0,34.03,465.0,7001.0
1786526341975452400,2026/08/12 19:19:02.007,57.0,24.0,20449.0,32607.0,62.71,840.0,7001.0
1786526342529266600,2026/08/12 19:19:02.576,81.0,17.0,20449.0,32607.0,311.86,2827.0,13801.0
1786526343086631000,2026/08/12 19:19:03.117,85.0,23.0,20449.0,32607.0,335.55,2835.0,13801.0
1786526343625714800,2026/08/12 19:19:03.673,69.0,13.0,20449.0,32607.0,336.82,2767.0,13801.0
1786526344181648800,2026/08/12 19:19:04.228,85.0,24.0,20449.0,32607.0,334.35,2812.0,13801.0
1786526344748961700,2026/08/12 19:19:04.779,78.0,16.0,20449.0,32607.0,337.9,2805.0,13801.0
1786526345289435800,2026/08/12 19:19:05.337,68.0,8.0,20449.0,32607.0,345.48,2745.0,13801.0
1786526345848821600,2026/08/12 19:19:05.895,85.0,23.0,20449.0,32607.0,336.66,2812.0,13801.0
1786526346404894400,2026/08/12 19:19:06.436,86.0,23.0,20449.0,32607.0,344.16,2797.0,13801.0
1786526346958523000,2026/08/12 19:19:07.005,80.0,15.0,20449.0,32607.0,358.28,2767.0,13801.0
1786526347513317300,2026/08/12 19:19:07.545,79.0,15.0,20449.0,32607.0,355.13,2745.0,13801.0
1786526348054098800,2026/08/12 19:19:08.085,85.0,23.0,20449.0,32607.0,329.58,2805.0,13801.0
1786526348595148400,2026/08/12 19:19:08.642,84.0,23.0,20449.0,32607.0,351.3,2797.0,13801.0
1786526349150997200,2026/08/12 19:19:09.198,75.0,13.0,20457.0,32607.0,358.03,2797.0,13801.0
1786526349706143600,2026/08/12 19:19:09.753,81.0,15.0,20457.0,32607.0,357.82,2760.0,13801.0
1786526350261592700,2026/08/12 19:19:10.293,63.0,4.0,20457.0,32607.0,353.77,2760.0,13801.0
1786526569180039300,2026/08/12 19:22:49.218,0.0,0.0,20409.0,32607.0,24.36,465.0,810.0
1786526569727543100,2026/08/12 19:22:49.759,81.0,23.0,20411.0,32607.0,109.06,2872.0,13801.0
1786526570269346700,2026/08/12 19:22:50.301,82.0,23.0,20411.0,32607.0,246.73,2865.0,13801.0
1786526570809738700,2026/08/12 19:22:50.841,76.0,21.0,20411.0,32607.0,299.47,2857.0,13801.0
1786526571362690000,2026/08/12 19:22:51.410,79.0,16.0,20411.0,32607.0,306.58,2865.0,13801.0
1786526571920068900,2026/08/12 19:22:51.952,84.0,24.0,20411.0,32607.0,301.65,2850.0,13801.0
1786526572461458000,2026/08/12 19:22:52.493,79.0,18.0,20411.0,32607.0,303.01,2865.0,13801.0
1786526573002299900,2026/08/12 19:22:53.033,71.0,9.0,20411.0,32607.0,318.73,2835.0,13801.0
1786526573555239600,2026/08/12 19:22:53.587,83.0,23.0,20411.0,32607.0,308.61,2850.0,13801.0
1786526574094764200,2026/08/12 19:22:54.126,84.0,23.0,20411.0,32607.0,303.0,2857.0,13801.0
1786526574635376100,2026/08/12 19:22:54.667,82.0,17.0,20411.0,32607.0,318.9,2842.0,13801.0
1786526575176937900,2026/08/12 19:22:55.224,65.0,11.0,20411.0,32607.0,298.79,2812.0,13801.0
1786526575745833100,2026/08/12 19:22:55.777,83.0,23.0,20411.0,32607.0,292.62,2857.0,13801.0
1786526576286355400,2026/08/12 19:22:56.318,84.0,23.0,20411.0,32607.0,314.78,2857.0,13801.0
1786526576824905200,2026/08/12 19:22:56.856,69.0,13.0,20411.0,32607.0,306.05,2842.0,13801.0
1786526577378150600,2026/08/12 19:22:57.425,85.0,16.0,20411.0,32607.0,317.14,2827.0,13801.0
1786526577947089800,2026/08/12 19:22:57.979,67.0,4.0,20411.0,32607.0,315.56,2820.0,13801.0
