microcell_id,layer_start,layer_end_exclusive,chunk_rows,service_p50_ms,cuda_p50_ms,host_overhead_p50_ms,resident_bytes,resident_gib,bottleneck_operator,phase_ms,evidence_class
0,0,8,1,103.95777939763404,67.91147799057036,36.04630140706367,130965045248,121.970703125,dense_layer_0,"{""attention_and_pre_moe"":21.70482161053664,""boundary_d2h"":2.9744979545609507,""boundary_h2d"":0.664967375254643,""dense_layer_0"":31.192425373945326,""expert_collection"":0.5792972940857998,""expert_dispatch"":0.38485115027307326,""latent_down"":2.2634792741042657,""latent_up"":1.5075543198136703,""residual"":0.5510600927158923,""routed_expert_compute"":23.244087396131768,""router"":11.348320191662294,""scatter_reduction"":0.8603448754934195,""shared_expert"":6.682072489056295}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
0,0,8,2,157.14308163087708,88.85263013332975,68.29045149754731,130965045248,121.970703125,dense_layer_0,"{""attention_and_pre_moe"":18.344540006295723,""boundary_d2h"":4.532161522050261,""boundary_h2d"":1.3469205991295876,""dense_layer_0"":62.38485074789065,""expert_collection"":0.4996467718260302,""expert_dispatch"":0.45181594109064305,""latent_down"":2.6919389236997264,""latent_up"":2.029536204829817,""residual"":0.8516768576146164,""routed_expert_compute"":42.54953834196157,""router"":10.667065966809137,""scatter_reduction"":2.0565978162733645,""shared_expert"":8.736791931405941}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
0,0,8,4,262.46364981050885,124.46697689655736,137.99667291395147,130965045248,121.970703125,dense_layer_0,"{""attention_and_pre_moe"":25.590697271413568,""boundary_d2h"":6.852249931305617,""boundary_h2d"":2.14900090679057,""dense_layer_0"":127.74279838372658,""expert_collection"":0.594608189565702,""expert_dispatch"":0.4857535535241041,""latent_down"":3.836268311847843,""latent_up"":3.2518403210876716,""residual"":1.8104333358723628,""routed_expert_compute"":62.102610313985075,""router"":10.232151257952506,""scatter_reduction"":3.4563872360092223,""shared_expert"":14.358850797428026}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
0,0,8,8,433.55431308515927,181.46721034989866,252.08710273526057,130965045248,121.970703125,dense_layer_0,"{""attention_and_pre_moe"":48.37373523565067,""boundary_d2h"":12.311922007394504,""boundary_h2d"":3.6816914075197276,""dense_layer_0"":228.7107257387445,""expert_collection"":0.6859741963717401,""expert_dispatch"":0.4924724297569959,""latent_down"":5.596089654409253,""latent_up"":5.3488137049191735,""residual"":3.4284925147910417,""routed_expert_compute"":84.45581432456689,""router"":9.909858447161348,""scatter_reduction"":5.999635510365739,""shared_expert"":24.559087913507682}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
1,8,16,1,83.34644035976599,77.94552064776785,5.400919711998134,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":25.29271540414291,""boundary_d2h"":3.0184829165674887,""boundary_h2d"":0.7737306456256621,""expert_collection"":0.4398547824792929,""expert_dispatch"":0.475068901372053,""latent_down"":2.5669545767073596,""latent_up"":1.7684929711193924,""residual"":0.5376685797775312,""routed_expert_compute"":26.545684136681043,""router"":13.048417780897125,""scatter_reduction"":1.2234879396799834,""shared_expert"":7.6558817247161475}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
1,8,16,2,97.25903097827667,90.14871311394495,7.110317864331728,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":20.71785800596495,""boundary_d2h"":5.441012776802958,""boundary_h2d"":1.4033520306008802,""expert_collection"":0.5687076565453217,""expert_dispatch"":0.48131151081954127,""latent_down"":2.902501548604972,""latent_up"":2.2211581339947313,""residual"":0.8327924349901303,""routed_expert_compute"":38.93107245453059,""router"":11.87110461802609,""scatter_reduction"":2.192546632759212,""shared_expert"":9.695613174637305}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
1,8,16,4,138.4675946125386,130.57312840258737,7.894466209951201,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":27.986745000345177,""boundary_d2h"":7.503716982695763,""boundary_h2d"":1.9618785007545056,""expert_collection"":0.6019900261316772,""expert_dispatch"":0.5208647537166823,""latent_down"":4.007469105524901,""latent_up"":3.497004518272502,""residual"":2.017897417353215,""routed_expert_compute"":59.740828159387135,""router"":11.242462266547241,""scatter_reduction"":3.815740637510416,""shared_expert"":15.570997244299376}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
1,8,16,8,210.47461574089394,188.8376789820983,21.63693675879565,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":53.802056234448905,""boundary_d2h"":12.683057364690338,""boundary_h2d"":3.8801947195494173,""expert_collection"":0.8366692139103176,""expert_dispatch"":0.5270652576791965,""latent_down"":6.131618863273113,""latent_up"":5.85461593635378,""residual"":3.815265285877341,""routed_expert_compute"":78.84794972184952,""router"":10.827752058162218,""scatter_reduction"":6.357516150308253,""shared_expert"":26.91085493479156}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
2,16,24,1,87.2991582976365,79.19202372952041,8.107134568116074,146200854528,136.16015625,routed_expert_compute,"{""attention_and_pre_moe"":26.242052280715896,""boundary_d2h"":3.1567522586110193,""boundary_h2d"":1.1671793276831641,""expert_collection"":1.1929272955237011,""expert_dispatch"":0.6446519398296825,""latent_down"":2.599818575746157,""latent_up"":1.7650246484475378,""residual"":0.748411357748363,""routed_expert_compute"":27.339547439120608,""router"":13.590381851387525,""scatter_reduction"":1.0037673192044303,""shared_expert"":7.848644003618404}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
2,16,24,2,111.17360103488224,101.54732016445301,9.626280870429225,146200854528,136.16015625,routed_expert_compute,"{""attention_and_pre_moe"":21.723651151126703,""boundary_d2h"":4.618866250331179,""boundary_h2d"":1.8389777712511666,""expert_collection"":0.973878815666395,""expert_dispatch"":0.8591505792556916,""latent_down"":3.009888329205527,""latent_up"":2.366186913244489,""residual"":0.9285886574872864,""routed_expert_compute"":50.34879147082789,""router"":12.22087669954895,""scatter_reduction"":2.3321425076818887,""shared_expert"":9.952601889255078}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
2,16,24,4,161.2403352737508,145.70331812348155,15.537017150269225,146200854528,136.16015625,routed_expert_compute,"{""attention_and_pre_moe"":31.48283307657769,""boundary_d2h"":8.471810534089487,""boundary_h2d"":2.5472700293833386,""expert_collection"":0.8307627065536946,""expert_dispatch"":0.718029504124332,""latent_down"":4.362090648223516,""latent_up"":3.7793589037723665,""residual"":2.2027758480124393,""routed_expert_compute"":73.40347339428345,""router"":12.569618960370038,""scatter_reduction"":3.9453058801336547,""shared_expert"":16.927005788226754}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
