candidate_block_size,verification_rows,total_wall_p50_ms,device_p50_ms,latency_per_candidate_ms,latency_per_accepted_token_ms,cost_vs_block_1,total_assignments,mean_unique_experts,unique_experts_per_assignment,mean_assignments_per_touched_expert,mean_adjacent_position_overlap
1,2,9.23975,8.923936367034912,9.23975,4.619875,1.0,32,27.25,0.8515625,1.1839080459770115,4.75
2,3,11.38505,10.975103855133057,5.692525,3.7950166666666667,1.2321816066452014,48,36.0,0.75,1.3333333333333333,3.0
4,5,15.729099999999999,14.927232265472412,3.9322749999999997,3.1458199999999996,1.7023296084850779,80,36.0,0.45,2.2222222222222223,4.6875
7,8,23.1042,21.795472145080566,3.3005999999999998,2.888025,2.5005222002759813,128,36.0,0.28125,3.555555555555556,4.678571428571429
12,13,33.619550000000004,31.91486358642578,2.801629166666667,2.586119230769231,3.638577883600747,208,36.0,0.17307692307692307,5.777777777777778,4.666666666666667
16,17,43.075649999999996,40.48310470581055,2.6922281249999997,2.533861764705882,4.661993019291646,272,36.0,0.1323529411764706,7.555555555555555,4.671875
