context_tokens,degree,wall_p50_ms,device_p50_ms,attention_pre_moe_device_p50_ms,local_gpu_speedup_vs_dcp1,shaped_transport_ms,shaped_wall_p50_ms,shaped_speedup_vs_dcp1,partial_payload_bytes_per_worker
2048,1,14.3978,13.388799667358398,4.700256109237671,1.0,0.0,14.3978,1.0,266240
2048,2,15.28135,14.076848030090332,5.807935953140259,0.9421811554607414,0.820472,16.101822,0.8941721005237794,266240
2048,4,14.35255,13.244832038879395,4.4737279415130615,1.003152749859781,0.820472,15.173022000000001,0.9489078708249418,266240
2048,8,14.417349999999999,13.285391807556152,4.630959987640381,0.9986439949089119,0.820472,15.237822,0.9448725677462304,266240
8192,1,23.0116,21.83945655822754,12.861440181732178,1.0,0.0,23.0116,1.0,266240
8192,2,23.9527,22.524368286132812,13.447855949401855,0.960710066088583,0.820472,24.773172,0.9288919481122564,266240
8192,4,22.5171,21.22212791442871,12.158143997192383,1.021961087351391,0.820472,23.337571999999998,0.9860323087594547,266240
8192,8,21.99455,20.710479736328125,12.11291217803955,1.0462410006115153,0.820472,22.815022,1.008616165261642,266240
32768,1,55.2005,53.47715187072754,44.255903244018555,1.0,0.0,55.2005,1.0,266240
32768,2,55.8198,53.95449638366699,44.878944396972656,0.9889053704957739,0.820472,56.640272,0.9745804186816052,266240
32768,4,54.101600000000005,52.316511154174805,43.48076820373535,1.0203117837550089,0.820472,54.92207200000001,1.0050695101233615,266240
32768,8,53.4099,51.75369644165039,42.566816329956055,1.0335256197821003,0.820472,54.230372,1.0178890161402543,266240
