profile,algorithm,participants,steps,payload_per_step_bytes,aggregate_wire_bytes,base_network_latency_ms,serialization_ms,software_overhead_ms,completion_time_ms
commodity_fast_lan,binary_tree_allreduce,8,6,14336,200704,3.0,0.0688128,0.14820000000000003,3.2170128
commodity_fast_lan,recursive_doubling,8,3,14336,344064,1.5,0.0344064,0.07410000000000001,1.6085064
commodity_fast_lan,ring_allreduce,8,14,14336,200704,7.0,0.1605632,0.34580000000000005,7.5063632
commodity_fast_lan,binary_tree_reduce,8,3,28672,200704,1.5,0.0688128,0.08940000000000001,1.6582127999999998
commodity_fast_lan,binary_tree_allreduce,8,6,28672,401408,3.0,0.1376256,0.17880000000000001,3.3164255999999996
commodity_fast_lan,recursive_doubling,8,3,28672,688128,1.5,0.0688128,0.08940000000000001,1.6582127999999998
commodity_fast_lan,ring_allreduce,8,14,28672,401408,7.0,0.3211264,0.4172,7.7383264
commodity_fast_lan,binary_tree_reduce,8,3,57344,401408,1.5,0.1376256,0.1185,1.7561256
commodity_fast_lan,binary_tree_allreduce,8,6,57344,802816,3.0,0.2752512,0.237,3.5122512
commodity_fast_lan,recursive_doubling,8,3,57344,1376256,1.5,0.1376256,0.1185,1.7561256
commodity_fast_lan,ring_allreduce,8,14,57344,802816,7.0,0.6422528,0.553,8.1952528
commodity_fast_lan,binary_tree_reduce,8,3,114688,802816,1.5,0.2752512,0.17565,1.9509012000000001
commodity_fast_lan,binary_tree_allreduce,8,6,114688,1605632,3.0,0.5505024,0.3513,3.9018024000000002
commodity_fast_lan,recursive_doubling,8,3,114688,2752512,1.5,0.2752512,0.17565,1.9509012000000001
commodity_fast_lan,ring_allreduce,8,14,114688,1605632,7.0,1.2845056,0.8197,9.104205599999998
commodity_fast_lan,binary_tree_reduce,16,4,16,240,2.0,5.12e-05,0.08199999999999999,2.0820512
commodity_fast_lan,binary_tree_allreduce,16,8,16,480,4.0,0.0001024,0.16399999999999998,4.1641024
commodity_fast_lan,recursive_doubling,16,4,16,1024,2.0,5.12e-05,0.08199999999999999,2.0820512
commodity_fast_lan,ring_allreduce,16,30,16,480,15.0,0.000384,0.6149999999999999,15.615384
commodity_fast_lan,binary_tree_reduce,16,4,14336,215040,2.0,0.0458752,0.09880000000000001,2.1446752
commodity_fast_lan,binary_tree_allreduce,16,8,14336,430080,4.0,0.0917504,0.19760000000000003,4.2893504
commodity_fast_lan,recursive_doubling,16,4,14336,917504,2.0,0.0458752,0.09880000000000001,2.1446752
commodity_fast_lan,ring_allreduce,16,30,14336,430080,15.0,0.344064,0.7410000000000001,16.085064
commodity_fast_lan,binary_tree_reduce,16,4,28672,430080,2.0,0.0917504,0.1192,2.2109504
commodity_fast_lan,binary_tree_allreduce,16,8,28672,860160,4.0,0.1835008,0.2384,4.4219008
commodity_fast_lan,recursive_doubling,16,4,28672,1835008,2.0,0.0917504,0.1192,2.2109504
commodity_fast_lan,ring_allreduce,16,30,28672,860160,15.0,0.688128,0.894,16.582128
commodity_fast_lan,binary_tree_reduce,16,4,57344,860160,2.0,0.1835008,0.158,2.3415008
commodity_fast_lan,binary_tree_allreduce,16,8,57344,1720320,4.0,0.3670016,0.316,4.6830016
commodity_fast_lan,recursive_doubling,16,4,57344,3670016,2.0,0.1835008,0.158,2.3415008
commodity_fast_lan,ring_allreduce,16,30,57344,1720320,15.0,1.376256,1.185,17.561256
commodity_fast_lan,binary_tree_reduce,16,4,114688,1720320,2.0,0.3670016,0.2342,2.6012016
commodity_fast_lan,binary_tree_allreduce,16,8,114688,3440640,4.0,0.7340032,0.4684,5.2024032
commodity_fast_lan,recursive_doubling,16,4,114688,7340032,2.0,0.3670016,0.2342,2.6012016
commodity_fast_lan,ring_allreduce,16,30,114688,3440640,15.0,2.752512,1.7565,19.509012
commodity_fast_lan,binary_tree_reduce,32,5,16,496,2.5,6.4e-05,0.10249999999999998,2.602564
commodity_fast_lan,binary_tree_allreduce,32,10,16,992,5.0,0.000128,0.20499999999999996,5.205128
commodity_fast_lan,recursive_doubling,32,5,16,2560,2.5,6.4e-05,0.10249999999999998,2.602564
commodity_fast_lan,ring_allreduce,32,62,16,992,31.0,0.0007936,1.271,32.2717936
commodity_fast_lan,binary_tree_reduce,32,5,14336,444416,2.5,0.057344,0.12350000000000001,2.680844
commodity_fast_lan,binary_tree_allreduce,32,10,14336,888832,5.0,0.114688,0.24700000000000003,5.361688
commodity_fast_lan,recursive_doubling,32,5,14336,2293760,2.5,0.057344,0.12350000000000001,2.680844
commodity_fast_lan,ring_allreduce,32,62,14336,888832,31.0,0.7110656,1.5314,33.2424656
commodity_fast_lan,binary_tree_reduce,32,5,28672,888832,2.5,0.114688,0.149,2.763688
commodity_fast_lan,binary_tree_allreduce,32,10,28672,1777664,5.0,0.229376,0.298,5.527376
commodity_fast_lan,recursive_doubling,32,5,28672,4587520,2.5,0.114688,0.149,2.763688
commodity_fast_lan,ring_allreduce,32,62,28672,1777664,31.0,1.4221312,1.8476,34.2697312
commodity_fast_lan,binary_tree_reduce,32,5,57344,1777664,2.5,0.229376,0.1975,2.926876
commodity_fast_lan,binary_tree_allreduce,32,10,57344,3555328,5.0,0.458752,0.395,5.853752
commodity_fast_lan,recursive_doubling,32,5,57344,9175040,2.5,0.229376,0.1975,2.926876
commodity_fast_lan,ring_allreduce,32,62,57344,3555328,31.0,2.8442624,2.449,36.293262399999996
commodity_fast_lan,binary_tree_reduce,32,5,114688,3555328,2.5,0.458752,0.29275,3.251502
commodity_fast_lan,binary_tree_allreduce,32,10,114688,7110656,5.0,0.917504,0.5855,6.503004
commodity_fast_lan,recursive_doubling,32,5,114688,18350080,2.5,0.458752,0.29275,3.251502
commodity_fast_lan,ring_allreduce,32,62,114688,7110656,31.0,5.6885248,3.6300999999999997,40.318624799999995
regional,binary_tree_reduce,4,2,16,48,5.0,0.000256,0.040999999999999995,5.041256000000001
regional,binary_tree_allreduce,4,4,16,96,10.0,0.000512,0.08199999999999999,10.082512000000001
regional,recursive_doubling,4,2,16,128,5.0,0.000256,0.040999999999999995,5.041256000000001
regional,ring_allreduce,4,6,16,96,15.0,0.000768,0.12299999999999998,15.123768
regional,binary_tree_reduce,4,2,14336,43008,5.0,0.229376,0.049400000000000006,5.278776000000001
regional,binary_tree_allreduce,4,4,14336,86016,10.0,0.458752,0.09880000000000001,10.557552000000001
regional,recursive_doubling,4,2,14336,114688,5.0,0.229376,0.049400000000000006,5.278776000000001
regional,ring_allreduce,4,6,14336,86016,15.0,0.688128,0.14820000000000003,15.836328
regional,binary_tree_reduce,4,2,28672,86016,5.0,0.458752,0.0596,5.518351999999999
regional,binary_tree_allreduce,4,4,28672,172032,10.0,0.917504,0.1192,11.036703999999999
regional,recursive_doubling,4,2,28672,229376,5.0,0.458752,0.0596,5.518351999999999
regional,ring_allreduce,4,6,28672,172032,15.0,1.376256,0.17880000000000001,16.555056
regional,binary_tree_reduce,4,2,57344,172032,5.0,0.917504,0.079,5.996504
regional,binary_tree_allreduce,4,4,57344,344064,10.0,1.835008,0.158,11.993008
regional,recursive_doubling,4,2,57344,458752,5.0,0.917504,0.079,5.996504
regional,ring_allreduce,4,6,57344,344064,15.0,2.752512,0.237,17.989511999999998
regional,binary_tree_reduce,4,2,114688,344064,5.0,1.835008,0.1171,6.952108
regional,binary_tree_allreduce,4,4,114688,688128,10.0,3.670016,0.2342,13.904216
regional,recursive_doubling,4,2,114688,917504,5.0,1.835008,0.1171,6.952108
regional,ring_allreduce,4,6,114688,688128,15.0,5.505024,0.3513,20.856323999999997
regional,binary_tree_reduce,8,3,16,112,7.5,0.000384,0.06149999999999999,7.561884
regional,binary_tree_allreduce,8,6,16,224,15.0,0.000768,0.12299999999999998,15.123768
regional,recursive_doubling,8,3,16,384,7.5,0.000384,0.06149999999999999,7.561884
regional,ring_allreduce,8,14,16,224,35.0,0.001792,0.287,35.288792
regional,binary_tree_reduce,8,3,14336,100352,7.5,0.344064,0.07410000000000001,7.918164
regional,binary_tree_allreduce,8,6,14336,200704,15.0,0.688128,0.14820000000000003,15.836328
regional,recursive_doubling,8,3,14336,344064,7.5,0.344064,0.07410000000000001,7.918164
regional,ring_allreduce,8,14,14336,200704,35.0,1.605632,0.34580000000000005,36.951432
regional,binary_tree_reduce,8,3,28672,200704,7.5,0.688128,0.08940000000000001,8.277528
regional,binary_tree_allreduce,8,6,28672,401408,15.0,1.376256,0.17880000000000001,16.555056
regional,recursive_doubling,8,3,28672,688128,7.5,0.688128,0.08940000000000001,8.277528
regional,ring_allreduce,8,14,28672,401408,35.0,3.211264,0.4172,38.628464
regional,binary_tree_reduce,8,3,57344,401408,7.5,1.376256,0.1185,8.994755999999999
regional,binary_tree_allreduce,8,6,57344,802816,15.0,2.752512,0.237,17.989511999999998
regional,recursive_doubling,8,3,57344,1376256,7.5,1.376256,0.1185,8.994755999999999
regional,ring_allreduce,8,14,57344,802816,35.0,6.422528,0.553,41.975528
regional,binary_tree_reduce,8,3,114688,802816,7.5,2.752512,0.17565,10.428161999999999
regional,binary_tree_allreduce,8,6,114688,1605632,15.0,5.505024,0.3513,20.856323999999997
regional,recursive_doubling,8,3,114688,2752512,7.5,2.752512,0.17565,10.428161999999999
regional,ring_allreduce,8,14,114688,1605632,35.0,12.845056,0.8197,48.664756
regional,binary_tree_reduce,16,4,16,240,10.0,0.000512,0.08199999999999999,10.082512000000001
regional,binary_tree_allreduce,16,8,16,480,20.0,0.001024,0.16399999999999998,20.165024000000003
regional,recursive_doubling,16,4,16,1024,10.0,0.000512,0.08199999999999999,10.082512000000001
regional,ring_allreduce,16,30,16,480,75.0,0.00384,0.6149999999999999,75.61883999999999
regional,binary_tree_reduce,16,4,14336,215040,10.0,0.458752,0.09880000000000001,10.557552000000001
regional,binary_tree_allreduce,16,8,14336,430080,20.0,0.917504,0.19760000000000003,21.115104000000002
regional,recursive_doubling,16,4,14336,917504,10.0,0.458752,0.09880000000000001,10.557552000000001
regional,ring_allreduce,16,30,14336,430080,75.0,3.44064,0.7410000000000001,79.18164
regional,binary_tree_reduce,16,4,28672,430080,10.0,0.917504,0.1192,11.036703999999999
regional,binary_tree_allreduce,16,8,28672,860160,20.0,1.835008,0.2384,22.073407999999997
regional,recursive_doubling,16,4,28672,1835008,10.0,0.917504,0.1192,11.036703999999999
regional,ring_allreduce,16,30,28672,860160,75.0,6.88128,0.894,82.77528000000001
regional,binary_tree_reduce,16,4,57344,860160,10.0,1.835008,0.158,11.993008
regional,binary_tree_allreduce,16,8,57344,1720320,20.0,3.670016,0.316,23.986016
regional,recursive_doubling,16,4,57344,3670016,10.0,1.835008,0.158,11.993008
regional,ring_allreduce,16,30,57344,1720320,75.0,13.76256,1.185,89.94756000000001
regional,binary_tree_reduce,16,4,114688,1720320,10.0,3.670016,0.2342,13.904216
regional,binary_tree_allreduce,16,8,114688,3440640,20.0,7.340032,0.4684,27.808432
regional,recursive_doubling,16,4,114688,7340032,10.0,3.670016,0.2342,13.904216
regional,ring_allreduce,16,30,114688,3440640,75.0,27.52512,1.7565,104.28162
regional,binary_tree_reduce,32,5,16,496,12.5,0.00064,0.10249999999999998,12.60314
regional,binary_tree_allreduce,32,10,16,992,25.0,0.00128,0.20499999999999996,25.20628
regional,recursive_doubling,32,5,16,2560,12.5,0.00064,0.10249999999999998,12.60314
regional,ring_allreduce,32,62,16,992,155.0,0.007936,1.271,156.278936
regional,binary_tree_reduce,32,5,14336,444416,12.5,0.57344,0.12350000000000001,13.19694
regional,binary_tree_allreduce,32,10,14336,888832,25.0,1.14688,0.24700000000000003,26.39388
regional,recursive_doubling,32,5,14336,2293760,12.5,0.57344,0.12350000000000001,13.19694
regional,ring_allreduce,32,62,14336,888832,155.0,7.110656,1.5314,163.642056
regional,binary_tree_reduce,32,5,28672,888832,12.5,1.14688,0.149,13.795879999999999
regional,binary_tree_allreduce,32,10,28672,1777664,25.0,2.29376,0.298,27.591759999999997
regional,recursive_doubling,32,5,28672,4587520,12.5,1.14688,0.149,13.795879999999999
regional,ring_allreduce,32,62,28672,1777664,155.0,14.221312,1.8476,171.068912
regional,binary_tree_reduce,32,5,57344,1777664,12.5,2.29376,0.1975,14.991259999999999
regional,binary_tree_allreduce,32,10,57344,3555328,25.0,4.58752,0.395,29.982519999999997
regional,recursive_doubling,32,5,57344,9175040,12.5,2.29376,0.1975,14.991259999999999
regional,ring_allreduce,32,62,57344,3555328,155.0,28.442624,2.449,185.891624
regional,binary_tree_reduce,32,5,114688,3555328,12.5,4.58752,0.29275,17.38027
regional,binary_tree_allreduce,32,10,114688,7110656,25.0,9.17504,0.5855,34.76054
regional,recursive_doubling,32,5,114688,18350080,12.5,4.58752,0.29275,17.38027
regional,ring_allreduce,32,62,114688,7110656,155.0,56.885248,3.6300999999999997,215.515348
residential_wan,binary_tree_reduce,4,2,16,48,20.0,0.00256,0.040999999999999995,20.04356
residential_wan,binary_tree_allreduce,4,4,16,96,40.0,0.00512,0.08199999999999999,40.08712
residential_wan,recursive_doubling,4,2,16,128,20.0,0.00256,0.040999999999999995,20.04356
residential_wan,ring_allreduce,4,6,16,96,60.0,0.00768,0.12299999999999998,60.13068
residential_wan,binary_tree_reduce,4,2,14336,43008,20.0,2.29376,0.049400000000000006,22.343159999999997
residential_wan,binary_tree_allreduce,4,4,14336,86016,40.0,4.58752,0.09880000000000001,44.686319999999995
residential_wan,recursive_doubling,4,2,14336,114688,20.0,2.29376,0.049400000000000006,22.343159999999997
residential_wan,ring_allreduce,4,6,14336,86016,60.0,6.88128,0.14820000000000003,67.02948
residential_wan,binary_tree_reduce,4,2,28672,86016,20.0,4.58752,0.0596,24.647119999999997
residential_wan,binary_tree_allreduce,4,4,28672,172032,40.0,9.17504,0.1192,49.294239999999995
residential_wan,recursive_doubling,4,2,28672,229376,20.0,4.58752,0.0596,24.647119999999997
residential_wan,ring_allreduce,4,6,28672,172032,60.0,13.76256,0.17880000000000001,73.94136
residential_wan,binary_tree_reduce,4,2,57344,172032,20.0,9.17504,0.079,29.25404
residential_wan,binary_tree_allreduce,4,4,57344,344064,40.0,18.35008,0.158,58.50808
residential_wan,recursive_doubling,4,2,57344,458752,20.0,9.17504,0.079,29.25404
residential_wan,ring_allreduce,4,6,57344,344064,60.0,27.52512,0.237,87.76212
residential_wan,binary_tree_reduce,4,2,114688,344064,20.0,18.35008,0.1171,38.46718
residential_wan,binary_tree_allreduce,4,4,114688,688128,40.0,36.70016,0.2342,76.93436
residential_wan,recursive_doubling,4,2,114688,917504,20.0,18.35008,0.1171,38.46718
residential_wan,ring_allreduce,4,6,114688,688128,60.0,55.05024,0.3513,115.40154
residential_wan,binary_tree_reduce,8,3,16,112,30.0,0.00384,0.06149999999999999,30.06534
residential_wan,binary_tree_allreduce,8,6,16,224,60.0,0.00768,0.12299999999999998,60.13068
residential_wan,recursive_doubling,8,3,16,384,30.0,0.00384,0.06149999999999999,30.06534
residential_wan,ring_allreduce,8,14,16,224,140.0,0.01792,0.287,140.30492
residential_wan,binary_tree_reduce,8,3,14336,100352,30.0,3.44064,0.07410000000000001,33.51474
residential_wan,binary_tree_allreduce,8,6,14336,200704,60.0,6.88128,0.14820000000000003,67.02948
residential_wan,recursive_doubling,8,3,14336,344064,30.0,3.44064,0.07410000000000001,33.51474
residential_wan,ring_allreduce,8,14,14336,200704,140.0,16.05632,0.34580000000000005,156.40212
residential_wan,binary_tree_reduce,8,3,28672,200704,30.0,6.88128,0.08940000000000001,36.97068
residential_wan,binary_tree_allreduce,8,6,28672,401408,60.0,13.76256,0.17880000000000001,73.94136
residential_wan,recursive_doubling,8,3,28672,688128,30.0,6.88128,0.08940000000000001,36.97068
residential_wan,ring_allreduce,8,14,28672,401408,140.0,32.11264,0.4172,172.52984
residential_wan,binary_tree_reduce,8,3,57344,401408,30.0,13.76256,0.1185,43.88106
residential_wan,binary_tree_allreduce,8,6,57344,802816,60.0,27.52512,0.237,87.76212
residential_wan,recursive_doubling,8,3,57344,1376256,30.0,13.76256,0.1185,43.88106
residential_wan,ring_allreduce,8,14,57344,802816,140.0,64.22528,0.553,204.77828
residential_wan,binary_tree_reduce,8,3,114688,802816,30.0,27.52512,0.17565,57.70077
residential_wan,binary_tree_allreduce,8,6,114688,1605632,60.0,55.05024,0.3513,115.40154
residential_wan,recursive_doubling,8,3,114688,2752512,30.0,27.52512,0.17565,57.70077
residential_wan,ring_allreduce,8,14,114688,1605632,140.0,128.45056,0.8197,269.27026
residential_wan,binary_tree_reduce,16,4,16,240,40.0,0.00512,0.08199999999999999,40.08712
residential_wan,binary_tree_allreduce,16,8,16,480,80.0,0.01024,0.16399999999999998,80.17424
residential_wan,recursive_doubling,16,4,16,1024,40.0,0.00512,0.08199999999999999,40.08712
