schema_version,status,worker_count,machine_count,compute_workers_per_machine,connection_batch,connection_setup_is_bounded,dispatch_begins_after_all_workers_registered,peak_open_connections,explicit_worker_ids,messages,messages_per_worker,per_expert_rpc,top16_routes_per_worker_message,same_host_collective,host_or_controller_is_compute_resource,native_shard_compute_invoked,elapsed_seconds,controller_cpu_seconds,controller_ram_delta_bytes,controller_rss_bytes,scheduler_latency_p50_ms,scheduler_latency_p95_ms,queue_latency_p50_ms,queue_latency_p95_ms,failures,security,credential_value_persisted,requested_worker_count,independent_machine_worker_ids,workload,started_unix_ns,finished_unix_ns
experiment-021-control-plane-scale-v1,PASS,100,100,1,100,True,True,100,100,500,5.0,False,True,False,False,False,0.2155526,0.21875,36265984,104644608,63.73845,129.7492,13.64805,14.8011,[],"{'schema_version': 'experiment-020-security-validation-v1', 'tls_enabled': True, 'minimum_tls_version': 'TLSv1.2', 'per_run_credential_present': True, 'credential_persisted': False, 'certificate_sha256': '4fe0453aa1a2832c4ffd95572e0099a2f8f114655d731a82b1d628f8479b146e', 'arbitrary_execution_message_supported': False, 'hmac_sha256_frame_authentication': True, 'sha256_payload_checksums': True, 'bounded_payload_bytes': 16777216, 'backpressure': 'asyncio StreamWriter.drain'}",False,100,True,lightweight authenticated lifecycle/dispatch scale test,1786623806548783700,1786623806823273100
experiment-021-control-plane-scale-v1,PASS,250,250,1,100,True,True,250,250,1250,5.0,False,True,False,False,False,0.5590511,0.546875,83103744,187756544,210.1923,403.5767,35.625150000000005,36.0908,[],"{'schema_version': 'experiment-020-security-validation-v1', 'tls_enabled': True, 'minimum_tls_version': 'TLSv1.2', 'per_run_credential_present': True, 'credential_persisted': False, 'certificate_sha256': '8c49a1f1f18c3f4e7efbb7b2ed8c47375e1e573a1fb405edfb9d69ecbd51330b', 'arbitrary_execution_message_supported': False, 'hmac_sha256_frame_authentication': True, 'sha256_payload_checksums': True, 'bounded_payload_bytes': 16777216, 'backpressure': 'asyncio StreamWriter.drain'}",False,250,True,lightweight authenticated lifecycle/dispatch scale test,1786623806823273100,1786623807446488000
experiment-021-control-plane-scale-v1,PASS,376,376,1,100,True,True,376,376,1880,5.0,False,True,False,False,False,0.8564032,0.859375,17870848,205631488,329.71715,608.9272,55.51445,56.1311,[],"{'schema_version': 'experiment-020-security-validation-v1', 'tls_enabled': True, 'minimum_tls_version': 'TLSv1.2', 'per_run_credential_present': True, 'credential_persisted': False, 'certificate_sha256': '8d6427f0a7afecf364929a10ff477f35f89664b73c22d1ef13662382ce92dc91', 'arbitrary_execution_message_supported': False, 'hmac_sha256_frame_authentication': True, 'sha256_payload_checksums': True, 'bounded_payload_bytes': 16777216, 'backpressure': 'asyncio StreamWriter.drain'}",False,376,True,lightweight authenticated lifecycle/dispatch scale test,1786623807446488000,1786623808344847700
experiment-021-control-plane-scale-v1,PASS,500,500,1,100,True,True,500,500,2500,5.0,False,True,False,False,False,1.1188765,1.125,47824896,253460480,426.4347,839.1313,73.4394,74.8068,[],"{'schema_version': 'experiment-020-security-validation-v1', 'tls_enabled': True, 'minimum_tls_version': 'TLSv1.2', 'per_run_credential_present': True, 'credential_persisted': False, 'certificate_sha256': 'bd2d45f0f4c06a96dd75b331dcb3d5eb4d188e939292adf4f2b96007d75c1d4d', 'arbitrary_execution_message_supported': False, 'hmac_sha256_frame_authentication': True, 'sha256_payload_checksums': True, 'bounded_payload_bytes': 16777216, 'backpressure': 'asyncio StreamWriter.drain'}",False,500,True,lightweight authenticated lifecycle/dispatch scale test,1786623808344847700,1786623809511691300
experiment-021-control-plane-scale-v1,PASS,1000,1000,1,100,True,True,1000,1000,5000,5.0,False,True,False,False,False,2.3019891,2.28125,168927232,422395904,922.3573,1734.8474,166.44815,169.8539,[],"{'schema_version': 'experiment-020-security-validation-v1', 'tls_enabled': True, 'minimum_tls_version': 'TLSv1.2', 'per_run_credential_present': True, 'credential_persisted': False, 'certificate_sha256': '7df95dab76039050b950929354a285bf7fa0d0977736742cef751b434eaafa16', 'arbitrary_execution_message_supported': False, 'hmac_sha256_frame_authentication': True, 'sha256_payload_checksums': True, 'bounded_payload_bytes': 16777216, 'backpressure': 'asyncio StreamWriter.drain'}",False,1000,True,lightweight authenticated lifecycle/dispatch scale test,1786623809511691300,1786623811858267400
experiment-021-control-plane-scale-v1,PASS,2000,2000,1,100,True,True,2000,2000,10000,5.0,False,True,False,False,False,4.840908,4.8125,361050112,783454208,1866.03885,3499.9409,393.37715000000003,425.9885,[],"{'schema_version': 'experiment-020-security-validation-v1', 'tls_enabled': True, 'minimum_tls_version': 'TLSv1.2', 'per_run_credential_present': True, 'credential_persisted': False, 'certificate_sha256': '39c831a1fc7d71f443d1dcc9c67533345c31a8163b1c6de4b1cfcdbc5bc96274', 'arbitrary_execution_message_supported': False, 'hmac_sha256_frame_authentication': True, 'sha256_payload_checksums': True, 'bounded_payload_bytes': 16777216, 'backpressure': 'asyncio StreamWriter.drain'}",False,2000,True,lightweight authenticated lifecycle/dispatch scale test,1786623811858267400,1786623816737600000
