degree,rows,operator,worker_id,stripe_index,checkpoint_bytes,runtime_weight_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,146800640,73441280,0.266,0.2505280077457428,0.014871993565559405
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-04,4,146800640,73441280,0.265,0.24995200335979462,0.015928000950813315
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-05,5,146800640,73441280,0.2604,0.24592000246047974,0.014479997539520284
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-06,6,146800640,73441280,0.2795,0.2510400116443634,0.01615998835563659
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-07,7,146800640,73441280,0.3089,0.24748800694942474,0.061411993050575264
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-08,8,146800640,73441280,0.266,0.2515519857406616,0.014448014259338393
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-09,9,146800640,73441280,0.403,0.21855999529361725,0.18504800188541415
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-10,10,146800640,73441280,0.2843,0.2513599991798401,0.01617199234962463
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-11,11,146800640,73441280,0.263,0.2487040013074875,0.014519998335838336
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-12,12,146800640,73441280,0.2956,0.23337599635124207,0.06603199539184568
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-13,13,146800640,73441280,0.2795,0.24374400079250336,0.014155999207496661
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-14,14,146800640,73441280,0.2757,0.24329599738121033,0.015348014307022095
16,1,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-15,15,146800640,73441280,0.2615,0.24348799884319305,0.015912001156806965
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,146800640,73441280,0.333,0.3179199993610382,0.014880000638961777
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,146800640,73441280,0.3856,0.2874239981174469,0.08451199469566345
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,146800640,73441280,0.3302,0.3146879971027374,0.015124004077911368
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,146800640,73441280,0.3331,0.3102079927921295,0.015692007207870506
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-04,4,146800640,73441280,0.3477,0.32790398597717285,0.015096014022827176
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-05,5,146800640,73441280,0.3334,0.31839999556541443,0.015000004434585545
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-06,6,146800640,73441280,0.3324,0.3176319897174835,0.01578000879287722
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-07,7,146800640,73441280,0.3404,0.32499200105667114,0.015407998943328838
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-08,8,146800640,73441280,0.3419,0.32787200808525085,0.014455998325347885
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-09,9,146800640,73441280,0.3312,0.3171199858188629,0.014643994331359877
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-10,10,146800640,73441280,0.3618,0.3128319978713989,0.015263989639282216
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-11,11,146800640,73441280,0.3344,0.31913599371910095,0.015931995964050316
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-12,12,146800640,73441280,0.3389,0.323199987411499,0.015700012588500956
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-13,13,146800640,73441280,0.3289,0.31379199028015137,0.01541999464035032
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-14,14,146800640,73441280,0.354,0.3171519935131073,0.015536008119583111
16,2,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-15,15,146800640,73441280,0.3392,0.31004801392555237,0.018911997509002687
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-00,0,146800640,73441280,0.5194,0.502623975276947,0.01703200511932368
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-01,1,146800640,73441280,0.5152,0.49747198820114136,0.017167990112304743
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-02,2,146800640,73441280,0.5275,0.5123839974403381,0.015116002559661834
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-03,3,146800640,73441280,0.5217,0.5039680004119873,0.01673602533340457
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-04,4,146800640,73441280,0.5342,0.517408013343811,0.017047991752624503
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-05,5,146800640,73441280,0.5191,0.502560019493103,0.01653998050689698
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-06,6,146800640,73441280,0.6035,0.5865920186042786,0.016907981395721472
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-07,7,146800640,73441280,0.5231,0.5059840083122253,0.01626397476196284
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-08,8,146800640,73441280,1.2706,1.226304054260254,0.016948025131225508
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-09,9,146800640,73441280,0.5294,0.5123839974403381,0.01689601268768315
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-10,10,146800640,73441280,0.5335,0.5165759921073914,0.0164160106658936
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-11,11,146800640,73441280,0.532,0.5155839920043945,0.01646801128387454
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-12,12,146800640,73441280,0.6035,0.5863360166549683,0.017016024208068803
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-13,13,146800640,73441280,0.5204,0.5045120120048523,0.016579996299743605
16,4,lm_head,layer-endpoint.lm_head_vocabulary_shard.worker-14,14,146800640,73441280,0.5233,0.5063040256500244,0.016995974349975573
